company_name,city,Number_of_employees,projects_pudget,url
Adastra,"Toronto, Canada","1,000 - 9,999 ","25,000",https://adastragrp.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
deltAlyz Corp.,"Vancouver, Canada",2 - 9 ,"1,000",https://www.deltalyz.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Pontem Innovations,"Edmonton, Canada",2 - 9 ,"1,000",http://ponteminnovations.ca?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Denologix,"Toronto, Canada",50 - 249 ,"10,000",http://www.denologix.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Ample Insight,"Brampton, Canada",10 - 49 ,"10,000",https://www.ampleinsight.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
SEYA Group,"Burnaby, Canada",10 - 49 ,"50,000",https://seyagroup.io/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
CrucialLogics,"Toronto, Canada",2 - 9 ,Undisclosed,http://cruciallogics.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ProCogia,"Vancouver, Canada",50 - 249 ,"10,000",http://www.procogia.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
"Convverge, Inc.","Calgary, Canada",10 - 49 ,"1,000",http://www.convverge.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Integral Software Consulting,"Toronto, Canada",2 - 9 ,"5,000",https://askintegral.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
LeftWryte,"Toronto, Canada",2 - 9 ,"5,000",http://www.leftwryte.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
AOT Technologies,"Victoria, Canada",50 - 249 ,"50,000",https://www.aot-technologies.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Zerrow,"Edmonton, Canada",2 - 9 ,"5,000",https://www.zerrow.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Massive Insights Inc.,"Toronto, Canada",50 - 249 ,Undisclosed,http://massiveinsights.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Lemay.ai,"Ottawa, Canada",10 - 49 ,"25,000",https://www.lemay.ai/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
SimplyPHP,"Montréal, Canada",10 - 49 ,Undisclosed,https://www.simplyphp.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
"The Analyst Agency, LLC","Toronto, Canada",2 - 9 ,"1,000",https://www.theanalystagency.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Think Luna,"Toronto, Canada",2 - 9 ,"1,000",https://www.thinkluna.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Devfacto,"Toronto, Canada",50 - 249 ,"10,000",https://www.devfacto.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ThinkData Works,"Toronto, Canada",50 - 249 ,"25,000",https://www.thinkdataworks.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
3AG Systems,"Burnaby, Canada",10 - 49 ,"1,000",https://www.3agsystems.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
